q,r,solar,wind,hydro,coal,oil,gas,uranium
0.0,0.0,1.0,0.37879825,0.7600002,3.8270832E7,1757184.5,0.0,222887.78
0.0,1.0,0.9785408,0.5154573,0.07555478,4.5784296E7,3056665.5,7365029.0,224814.94
-1.0,1.0,0.9785408,0.77338135,0.1290211,3.9794132E7,1935163.0,3317824.5,299826.34
-1.0,0.0,1.0,0.6220632,0.029929686,2.0558662E7,729838.0,1.1285124E7,108946.54
0.0,-1.0,0.9785408,0.291317,0.7800002,4.5994556E7,1261114.4,1.2043474E7,239163.44
1.0,-1.0,0.9785408,0.66518116,0.19498216,1.1464261E7,1952620.6,6900885.0,12373.579
1.0,0.0,1.0,0.039192993,0.74000025,2.23686096E8,791864.1,6980998.0,242620.75
1.0,1.0,0.9785408,0.35806036,0.72000027,7.4719832E7,2516764.8,1.2212395E7,3725.2542
0.0,2.0,0.9175556,0.6252861,0.66000026,1.1813436E7,1783072.6,0.0,198472.95
-1.0,2.0,0.9175556,0.7123457,0.6400003,0.0,0.0,1.7958648E7,3644.6877
-2.0,2.0,0.9175556,0.55323,0.16748159,4.0311124E7,2047629.2,1.921062E7,41413.844
-2.0,1.0,0.9785408,0.5704066,0.13851666,1.2027618E7,718109.75,0.0,51558.6
-2.0,0.0,1.0,0.8164923,0.07578526,2.2482426E7,477562.72,1.10864E7,341258.72
-1.0,-1.0,0.9785408,0.9964832,0.0582136,2.8524562E7,451764.6,8734268.0,208380.03
0.0,-2.0,0.9175556,0.6947502,0.088523746,3.633528E7,312964.22,0.0,169875.47
1.0,-2.0,0.9175556,0.4288268,0.8000002,1.5968889E7,2062404.1,4856488.5,202114.03
2.0,-2.0,0.9175556,0.26101255,0.8200002,9111270.0,1342977.6,2.1962636E7,340751.53
2.0,-1.0,0.9785408,0.6527612,0.13593026,1.62947984E8,1657726.4,2.0587128E7,181498.22
2.0,0.0,1.0,0.741423,0.02377544,1.76396304E8,0.0,1.6070177E7,97861.21
2.0,1.0,0.9785408,0.07806126,0.7000003,3.14309312E8,1502345.5,0.0,223320.4
1.0,2.0,0.9175556,0.6939895,0.15696059,1.07821584E8,0.0,0.0,115011.445
0.0,3.0,0.82634336,0.53161037,0.60000026,5.9869752E7,0.0,6880578.0,39079.24
-1.0,3.0,0.82634336,0.6863539,0.04488364,2.2683532E7,1369289.4,1.1209211E7,105636.5
-2.0,3.0,0.82634336,0.6196348,0.06163214,3.9235624E7,0.0,4762934.5,129955.055
-3.0,3.0,0.82634336,0.99599975,0.15747014,0.0,2415282.8,1.3040044E7,211728.05
-3.0,2.0,0.9175556,0.6815808,0.17114423,1578538.2,2468155.5,1.9580788E7,50641.727
-3.0,1.0,0.9785408,0.7517148,0.047492474,3.605132E7,2850909.5,7643385.5,252134.4
-3.0,0.0,1.0,0.5523379,0.15670383,2.2093082E7,96733.734,8177845.0,68697.97
-2.0,-1.0,0.9785408,0.6462711,0.06793446,2.9534326E7,1545664.2,6363810.5,79963.68
-1.0,-2.0,0.9175556,0.94924027,0.15187547,289138.4,3357394.0,0.0,2825.9429
0.0,-3.0,0.82634336,0.6058613,0.013220208,3.232056E7,2.0405676E7,0.0,79395.3
1.0,-3.0,0.82634336,0.43111956,0.17008054,5.0490492E7,2674499.2,7.0385144E7,514574.53
2.0,-3.0,0.82634336,0.57204396,0.090981595,3.889988E7,7605674.5,0.0,682078.4
3.0,-3.0,0.82634336,0.6550417,0.15980735,5.8363484E7,4538675.5,5487115.5,247115.12
3.0,-2.0,0.9175556,0.14320087,0.84000015,1.89328544E8,2283477.5,0.0,50882.703
3.0,-1.0,0.9785408,0.041579783,0.86000013,2.32714512E8,1379811.5,1.3869761E7,21184.941
3.0,0.0,1.0,0.2912016,0.049917303,3.93859744E8,741907.6,1.4633937E7,271441.34
3.0,1.0,0.9785408,0.09633821,0.16602814,2.78936096E8,2587015.2,1.7470884E7,1974617.8
2.0,2.0,0.9175556,0.19829082,0.6800003,1.7297896E8,2037640.9,1.0346312E7,198783.03
1.0,3.0,0.82634336,0.53560454,0.6200003,8.4188672E7,2300978.8,9561034.0,38322.312
0.0,4.0,0.7177883,0.96628666,0.06696352,6.0673968E7,1494465.0,1.923517E7,131730.78
-1.0,4.0,0.7177883,0.5678034,0.5800003,1632716.0,0.0,1.1310571E7,401.6522
-2.0,4.0,0.7177883,0.88444686,0.18457755,9243041.0,1666252.4,2.5008746E7,19795.125
-3.0,4.0,0.7177883,0.9506924,0.052851453,1.00745E7,605116.06,0.0,300350.62
-4.0,4.0,0.7177883,0.82526183,0.0645141,1.8511432E7,954868.75,1.762822E7,253540.72
-4.0,3.0,0.82634336,0.8349266,0.10110203,1.2479728E7,0.0,2.4317412E7,216218.88
-4.0,2.0,0.9175556,0.9203013,0.19430397,1.7275362E7,2099553.8,1.7811914E7,237158.2
-4.0,1.0,0.9785408,0.9405477,0.047599457,5.003632E7,2744877.5,1090644.2,214710.64
-4.0,0.0,1.0,0.77804875,0.08807781,1.2145123E7,4441710.0,1.5052307E7,104380.43
-3.0,-1.0,0.9785408,0.7516196,0.057132497,0.0,7060413.0,2397577.5,179843.95
-2.0,-2.0,0.9175556,0.91719246,0.10083911,4.5425864E7,2494392.2,2.205844E7,224135.73
-1.0,-3.0,0.82634336,0.79884684,0.011292814,2.4985858E7,6339661.5,2.331855E7,376550.97
0.0,-4.0,0.7177883,0.78265446,0.07692485,4.246386E7,3876455.5,5.1706596E7,393303.44
1.0,-4.0,0.7177883,0.6075386,0.13203196,233154.28,5949899.0,7.5217208E7,261384.12
2.0,-4.0,0.7177883,0.4062655,0.11497752,4.100508E7,2.1271678E7,1.0055138E7,241632.66
3.0,-4.0,0.7177883,0.87161565,0.017725596,2.189964E7,2733705.2,1.013783E7,11332.954
4.0,-4.0,0.7177883,0.2568364,0.17858095,9.3557416E7,7589649.5,9.0800592E7,189737.48
4.0,-3.0,0.82634336,0.9027076,0.1551287,1.96748736E8,0.0,6131670.0,157050.78
4.0,-2.0,0.9175556,0.53370726,0.123309545,2.5421024E8,3302418.8,1.1494767E7,194602.08
4.0,-1.0,0.9785408,0.08859994,0.8800001,3.21655264E8,0.0,0.0,71600.91
4.0,0.0,1.0,0.05927951,0.9000001,3.85974336E8,2941286.5,1.3723488E7,244360.48
4.0,1.0,0.9785408,0.012721151,0.9200001,4.15707744E8,0.0,7865393.0,105966.17
3.0,2.0,0.9175556,0.560168,0.08029078,2.53603136E8,501357.56,2840725.5,106406.65
2.0,3.0,0.82634336,0.774112,0.09318074,1.94993712E8,1910604.9,5318932.0,397551.4
1.0,4.0,0.7177883,0.8796887,0.10134317,1.8836888E8,579854.5,4744652.5,139863.94
0.0,5.0,0.60539156,0.71739954,0.17123921,4.2869104E7,1329477.2,1061840.0,94829.28
-1.0,5.0,0.60539156,0.729451,0.16556937,4.8202152E7,469567.3,2.4110894E7,208317.27
-2.0,5.0,0.60539156,0.81120807,0.5600003,2.866977E7,1469998.6,1.8747258E7,241553.45
-3.0,5.0,0.60539156,0.95193493,0.023817148,1.3381487E7,980480.25,2.2647052E7,45077.45
-4.0,5.0,0.60539156,0.6453488,0.10599071,1.4227573E7,0.0,9618556.0,221100.73
-5.0,5.0,0.60539156,0.9229774,0.48000035,4427145.0,1813704.5,2.4059158E7,5630.584
-5.0,4.0,0.7177883,0.7315428,0.18089792,4.6297376E7,0.0,0.0,13651.405
-5.0,3.0,0.82634336,0.9730717,0.037930377,3420789.2,1576736.6,2.3633088E7,176562.78
-5.0,2.0,0.9175556,0.732844,0.022700572,1.2639217E7,2352541.5,0.0,214469.36
-5.0,1.0,0.9785408,0.59997183,0.19354086,0.0,200314.56,0.0,192014.33
-5.0,0.0,1.0,0.41465306,0.02584386,3.1314346E7,1.9544072E7,9657094.0,27117.824
-4.0,-1.0,0.9785408,0.72489667,0.016637819,2.0224572E7,6568921.5,3.3455278E7,253608.8
-3.0,-2.0,0.9175556,0.43003,0.16665712,3.1285394E7,1.577512E7,2.019669E7,43255.87
-2.0,-3.0,0.82634336,0.9623477,0.11175805,1.6054234E7,5589738.5,8659860.0,328609.7
-1.0,-4.0,0.7177883,0.5827234,0.13749628,0.0,3264456.8,7.1600072E7,328683.06
0.0,-5.0,0.60539156,0.7019627,0.18845788,1.0297822E7,1.2024908E7,1.3072363E7,176380.38
1.0,-5.0,0.60539156,0.7430115,0.044273406,3.7664328E7,4239231.5,5.8851664E7,14708.876
2.0,-5.0,0.60539156,0.995412,0.0672667,2.6351168E7,4144208.5,4.8786056E7,103294.63
3.0,-5.0,0.60539156,0.68749094,0.18951228,6586557.0,0.0,7595264.0,120082.68
4.0,-5.0,0.60539156,0.7010702,0.12416512,3.6699468E7,1.7417272E7,6048440.5,14539.304
5.0,-5.0,0.60539156,0.76294017,0.030649632,4.2838148E7,4924940.0,8.0262504E7,39333.715
5.0,-4.0,0.7177883,0.65591353,0.06347076,1.26818832E8,6013604.0,3.1183554E7,256533.36
5.0,-3.0,0.82634336,0.52785474,0.109319605,2.38842992E8,2583691.8,2.3532686E7,216821.72
5.0,-2.0,0.9175556,0.38183784,0.19165048,2.58970208E8,5546883.5,1.977352E7,37312.375
5.0,-1.0,0.9785408,0.1689601,0.084257625,3.81583552E8,5653515.0,1.8650532E7,72587.12
5.0,0.0,1.0,0.20810628,0.12945464,4.65181728E8,95596.12,1.0188093E7,110640.99
5.0,1.0,0.9785408,0.0053758505,0.94000006,5.0E8,3539509.2,1.6633674E7,319615.9
4.0,2.0,0.9175556,0.027462596,0.16751908,4.60295264E8,3052469.0,2.3982596E7,288178.4
3.0,3.0,0.82634336,0.6283133,0.025536051,3.10615488E8,2740902.2,1.8898046E7,46528.336
2.0,4.0,0.7177883,0.66076547,0.13106763,2.34499072E8,1246168.2,0.0,3382.0308
1.0,5.0,0.60539156,0.99915236,0.10315156,8.737384E7,0.0,1.8599324E7,68465.08
0.0,6.0,0.5005938,0.8117722,0.12039624,3.6718304E7,4920079.5,1.5866782E7,87970.875
-1.0,6.0,0.5005938,0.93916905,0.36000028,4.1112532E7,3377525.5,0.0,9597.408
-2.0,6.0,0.5005938,0.72228324,0.19196023,3.6898764E7,5597031.5,2.3182406E7,33434.508
-3.0,6.0,0.5005938,0.6987442,0.5400003,5.4182024E7,165792.56,2.0645532E7,341024.88
-4.0,6.0,0.5005938,0.37476206,0.52000034,3.8701696E7,977504.6,0.0,1773022.2
-5.0,6.0,0.5005938,0.48761725,0.50000036,6568464.0,1876574.9,1.2227528E7,1466243.2
-6.0,6.0,0.5005938,0.846089,0.028401813,8472126.0,2477892.2,0.0,1489039.9
-6.0,5.0,0.60539156,0.83380187,0.46000034,5.0751112E7,2421928.2,0.0,162437.75
-6.0,4.0,0.7177883,0.979944,0.18488505,4652675.5,2592308.2,1.6887376E7,12398.9375
-6.0,3.0,0.82634336,0.9221097,0.17771186,4628495.0,1603384.5,2.33994E7,108813.25
-6.0,2.0,0.9175556,0.7214259,0.030963795,3.665166E7,591555.94,1.4353123E7,115498.21
-6.0,1.0,0.9785408,0.64147145,0.14855437,0.0,1639904.8,6362581.0,68658.695
-6.0,0.0,1.0,0.36818838,0.105037495,2.6929278E7,3193040.0,1.01564672E8,28821.064
-5.0,-1.0,0.9785408,0.047113877,0.18817379,3002054.5,7295627.0,1.4E8,189392.61
-4.0,-2.0,0.9175556,0.58571804,0.010771575,2.090729E7,6804781.5,7.0125768E7,119418.836
-3.0,-3.0,0.82634336,0.5934213,0.10994092,1.6125439E7,2595197.0,6998191.0,32315.566
-2.0,-4.0,0.7177883,0.93614936,0.047606423,2.64193E7,1644743.8,4959698.0,229702.45
-1.0,-5.0,0.60539156,0.91468847,0.04495067,5341607.5,3226003.2,4558575.0,67802.69
0.0,-6.0,0.5005938,0.58277345,0.120499924,3.8724684E7,6034310.0,1.9200348E7,337889.03
1.0,-6.0,0.5005938,0.77561975,0.02792038,5.9873788E7,2.04615E7,1.0353056E7,9496.077
2.0,-6.0,0.5005938,0.5888735,0.01303594,1.1901928E7,2.4E7,1.5703214E7,323054.53
3.0,-6.0,0.5005938,0.4466672,0.018883826,4.4744196E7,8567309.0,5.909914E7,1130518.0
4.0,-6.0,0.5005938,0.78494024,0.023137746,3.8190248E7,2.231716E7,0.0,170132.08
5.0,-6.0,0.5005938,0.412107,0.06619894,5.0441296E7,5394247.0,1.36002544E8,248021.6
6.0,-6.0,0.5005938,0.38792634,0.114421606,5.388888E7,7429310.0,1.26325736E8,154798.73
6.0,-5.0,0.60539156,0.33816004,0.03271622,1.38865568E8,2.2196934E7,1.6621868E7,204802.6
6.0,-4.0,0.7177883,0.5899558,0.034059044,2.4134296E8,2131011.5,7505658.5,41835.906
6.0,-3.0,0.82634336,0.5070869,0.14346425,3.65116064E8,0.0,1.5478637E7,164623.48
6.0,-2.0,0.9175556,0.29194784,0.07898249,4.33108576E8,881348.7,1.2625204E7,236788.31
6.0,-1.0,0.9785408,0.069603205,0.123740874,4.97244288E8,0.0,1.2775341E7,284748.44
6.0,0.0,1.0,0.023440802,0.96000004,5.0E8,0.0,5357233.0,621310.5
6.0,1.0,0.9785408,0.021499157,0.060402602,4.82263616E8,0.0,2.3805026E7,409988.88
5.0,2.0,0.9175556,0.09233725,0.06996825,4.65525024E8,3492366.2,1.8854378E7,886999.56
4.0,3.0,0.82634336,0.030288626,0.06881504,3.02220352E8,2902470.2,1.9389726E7,1493074.9
3.0,4.0,0.7177883,0.50329065,0.19059123,1.8926776E8,376946.34,2658679.8,301318.97
2.0,5.0,0.60539156,0.7077291,0.15358073,1.8914392E8,1171484.5,4709050.0,147095.05
1.0,6.0,0.5005938,0.8394738,0.015488854,2.1329514E7,0.0,1.2243503E7,165013.72
0.0,7.0,0.4110902,0.53387713,0.3200003,1886885.1,1.4350625E7,0.0,206707.5
-1.0,7.0,0.4110902,0.80389696,0.3800003,1.7499942E7,4470735.5,3.0856526E7,140166.5
-2.0,7.0,0.4110902,0.81271136,0.19334695,9519428.0,1.978114E7,7938686.0,165787.52
-3.0,7.0,0.4110902,0.4134345,0.48000032,1.5718203E7,4313328.5,1.17390464E8,91626.58
-4.0,7.0,0.4110902,0.9804187,0.16787612,5.404298E7,1.0827344E7,8305561.0,220472.25
-5.0,7.0,0.4110902,0.61050445,0.18126063,8150717.0,4624626.0,6.0474452E7,229225.14
-6.0,7.0,0.4110902,0.58363646,0.026745357,9575251.0,1.0150261E7,0.0,119817.91
-7.0,7.0,0.4110902,0.6581496,0.12021071,3.6310288E7,7840878.5,1.05904368E8,109531.836
-7.0,6.0,0.5005938,0.85926247,0.44000033,3.1408108E7,6042935.5,1.8630812E7,79130.08
-7.0,5.0,0.60539156,0.7364774,0.12072355,5.8058792E7,2652911.8,1.4344674E7,583227.1
-7.0,4.0,0.7177883,0.31067085,0.30000025,0.0,574353.7,2.0008606E7,1809381.2
-7.0,3.0,0.82634336,0.7260536,0.09448143,3.2717742E7,0.0,1.8243142E7,50162.715
-7.0,2.0,0.9175556,0.92386997,0.018451454,5.1143104E7,1841199.8,2.0072242E7,221331.67
-7.0,1.0,0.9785408,0.016628815,0.18968669,2895734.8,8221500.5,1.141908E8,207691.5
-7.0,0.0,1.0,0.3448193,0.18420441,4.2750284E7,7852641.0,5.8238512E7,84585.75
