q,r,solar,wind,hydro,coal,gas,uranium,climate_risk,score
0,0,0.7124317258767731,0.5264265334105538,0.2599999999999995,1399672264.3068573,75588302.5387994,131326.76131826083,8,0.8127398890631038
0,1,0.7629028684031552,0.3308528238087502,0.01,1818889599.3655083,10572288.433511823,0,7,0.7018478931749227
-1,1,0.7629028684031552,0.5332686375419476,0.19022838890259308,1434691277.215567,89629194.06820689,0,7,0.871825807858112
-1,0,0.7124317258767731,0.7453144928608738,0.12833814793684667,952587553.9185723,113933258.18953699,300236.5262833907,7,0.8384263008762853
0,-1,0.6591225015292298,0.870605474794919,0.13666899220841802,932221108.3169212,1508304.520078682,278596.54355509655,7,0.775166826750415
1,-1,0.6591225015292298,0.516685370970549,0.30999999999999955,1349903885.1187603,15717797.211028397,1011809.5109991736,8,0.7981534075335585
1,0,0.7124317258767731,0.3024717276832585,0.199,1804255849.6478152,55538626.65954322,178837.3568736939,7,0.8073920932889681
1,1,0.7629028684031552,0.3150524533895047,0.08235668934093769,2000000000,28849256.145490643,632879.7647976053,7,0.8372173369579222
0,2,0.8097613292599009,0.2243374798581998,0.07767458145257997,2000000000,28618876.59132853,0,7,0.7696955723496853
-1,2,0.8097613292599009,0.3357246685859244,0.1047373803715264,1846225525.580092,34156571.6329561,896952.6868308042,7,0.8661592837389364
-2,2,0.8097613292599009,0.295588466014007,0.2499999999999995,1467687399.2628596,140343132.8484878,33623.641773972035,9,0.7527298500009577
-2,1,0.7629028684031552,0.7528436155139842,0.08473265286107913,960890532.1643249,88047690.55159864,949340.4994359947,7,0.8682452126093662
-2,0,0.7124317258767731,0.8548256326745185,0.5499999999999996,149802220.5630174,80811423.70657155,244349.38435764235,8,0.8213346516955892
-1,-1,0.6591225015292298,0.24950572850182332,0.08295281199101878,121280049.16703065,600000000,915901.315361636,7,0.7735123310743263
0,-2,0.6040545535202011,0.5448914885853982,0.29999999999999954,455617697.873207,373036208.5263232,603740.5527775811,8,0.83006891630498
1,-2,0.6040545535202011,0.624622014321868,0.43999999999999956,932138616.9612828,52241280.54228719,945014.1812369099,8,0.8121337764059365
2,-2,0.6040545535202011,0.8776210077142809,0.12585975655593729,907893819.041071,114534606.052558,348665.42319382157,7,0.8416749290274065
2,-1,0.6591225015292298,0.6560959416730087,0.026451269226057547,1304720694.125913,91330407.90968864,0,7,0.7627214447333304
2,0,0.7124317258767731,0.4107908762471693,0.10791820538933465,1762822851.280357,46631468.88509089,395912.66511532094,7,0.812038310785971
2,1,0.7629028684031552,0.32438545133731356,0.14680405763508642,2000000000,86886643.47617328,0,7,0.8854195067230531
1,2,0.8097613292599009,0.22727700812010712,0.02029643375138996,2000000000,132048826.78777911,0,7,0.8318971700126218
0,3,0.8524255975825791,0.1699618381428447,0.14140375448021375,2000000000,108356121.30677556,0,8,0.8144770696424524
-1,3,0.8524255975825791,0.1731906191719241,0.10870335736766991,1892366136.6708217,23257788.43030636,0,8,0.6957538370787736
-2,3,0.8524255975825791,0.5235472218376573,0.043499782792900434,1511829734.7127836,105219830.56664594,0,8,0.8178360181799483
-3,3,0.8524255975825791,0.6740271995338621,0.199,993707926.5776471,7358464.719439091,85353.8142744309,8,0.7621902094401919
-3,2,0.8097613292599009,0.3902657411913232,0.3999999999999995,961450174.7098095,133208621.61363064,0,9,0.739790514248445
-3,1,0.7629028684031552,0.849874310507852,0.44999999999999957,221956113.0363287,122223634.53887151,0,9,0.7791830133966438
-3,0,0.7124317258767731,0.8476868214401472,0.08755940718031391,118427751.30623712,282208584.59695804,332602.94082141103,7,0.8009920317093632
-2,-1,0.6591225015292298,0.8366922778674128,0.6399999999999997,316172339.44224375,17868861.000305224,639999.5684554302,8,0.8457494192790171
-1,-2,0.6040545535202011,0.6592678495009406,0.18574592199269188,34332853.699084625,448699377.80739075,686702.7229945819,7,0.8437572734702399
0,-3,0.5484872944746332,0.8169842272026262,0.2499999999999995,516457463.5003192,79422686.64972156,3255290.7176161194,8,0.8506542648239225
1,-3,0.5484872944746332,1,0.14419645218661753,150295227.5091133,154515265.27062377,341611.0818145466,7,0.7214860425080571
2,-3,0.5484872944746332,1,0.4699999999999996,250031644.4467285,64516740.86635397,824440.9016066383,8,0.8195933932415636
3,-3,0.5484872944746332,0.8916309718397643,0.5499999999999996,363969588.0792947,55453605.96988839,556440.4259060532,8,0.8090429837837193
3,-2,0.6040545535202011,0.6003591308324636,0.4799999999999996,903124178.3318439,68477254.36841628,450565.8716465994,8,0.7944580225652791
3,-1,0.6591225015292298,0.6039672568442823,0.16502391036839753,1274481652.6910846,37059329.28708395,647565.9739528897,7,0.7953232025271738
3,0,0.7124317258767731,0.40410853084750054,0.19821862703096998,1757062858.81749,106425200.71851519,0,7,0.8810750575476843
