q,r,solar,wind,hydro,coal,gas,uranium,climate_risk,score
0,0,0.7124317258767731,0.9322591082080792,0.5099999999999996,471291327.7898657,92063018.81868654,644376.1267484989,8,0.9175562040046608
0,1,0.7629028684031552,1,0.16183081519107073,93032914.81796025,160046247.7142638,0,7,0.7735454195504828
-1,1,0.7629028684031552,0.9723200516590429,0.5299999999999996,335234436.2791262,21347831.676995516,595581.7223398905,9,0.8262924167448608
-1,0,0.7124317258767731,0.6535806254996535,0.09208329649977823,302010343.13507247,318940998.8531503,936096.214311527,7,0.7834472881380222
0,-1,0.6591225015292298,0.7648089704185859,0.1269520356513205,187584945.71674666,292869330.91478336,240371.55984315232,7,0.7357451977189786
1,-1,0.6591225015292298,0.913530577690301,0.07398818230571305,248699502.53447604,309174421.8625249,0,7,0.7978321407294828
1,0,0.7124317258767731,0.9441299390323235,0.48999999999999955,517115898.01270217,69673282.13489027,503024.46934081,8,0.8973362755469386
1,1,0.7629028684031552,0.7422891315187267,0.09450546203294509,281859547.43168926,332044195.373645,0,7,0.8017313241050342
0,2,0.8097613292599009,0.6017151623405926,0.1018683951892258,231157840.32554397,352590045.70955527,0,7,0.7627720698224894
-1,2,0.8097613292599009,0.8955224335005143,0.5499999999999996,425077471.23137236,3305333.8665252724,110245.26537985707,9,0.7982497615703398
-2,2,0.8097613292599009,0.5151701396336628,0.056908763896109035,352436077.8204077,435461518.6875574,923640.6226854508,7,0.8546667460569289
-2,1,0.7629028684031552,0.20834752336722848,0.1275876577870167,346018805.19786197,600000000,834593.6831840025,7,0.8430429553365119
-2,0,0.7124317258767731,0.5580502788584614,0.6599999999999997,409289417.25746745,107332639.66149479,0,8,0.7614847820211669
-1,-1,0.6591225015292298,0.49225584999280114,0.6999999999999997,492795363.1436288,88607879.38284835,1083389.0518813033,8,0.7951150378901883
0,-2,0.6040545535202011,0.537188242572792,0.17234104134566225,535412518.75169027,317743569.76486295,559944.048159611,7,0.7448073546132681
1,-2,0.6040545535202011,1,0.48999999999999955,128343022.72911449,105310788.28094426,0,8,0.7714079301124428
2,-2,0.6040545535202011,0.893650487922721,0.12391160696895667,348529689.6567845,341694328.1236047,0,7,0.8376112052223081
2,-1,0.6591225015292298,0.8689104623829712,0.0938867688081083,324829341.9284741,297400616.62145674,0,7,0.7946737604137576
2,0,0.7124317258767731,1,0.46999999999999953,219470813.90720573,51575161.1474912,823575.2767363904,8,0.8455079404312081
2,1,0.7629028684031552,0.6568299302701492,0.04898189202291777,271124221.4429672,400608862.0234195,0,7,0.7906280414701711
1,2,0.8097613292599009,0.4758221710403092,0.19845187354206814,385105023.94073135,77104987.98486923,6750952.681628102,7,0.9802465283544556
0,3,0.8524255975825791,0.5047641609665569,0.17760226071984064,495543667.2996635,411906929.8720498,70934.96615175607,8,0.8439334972161177
-1,3,0.8524255975825791,0.6194655604148631,0.14719600030024432,417813684.9681844,349001323.3636519,941083.9877506059,8,0.8687575123766862
-2,3,0.8524255975825791,0.7374221270532697,0.5699999999999996,333432372.60464066,76549106.81679505,0,9,0.7816691214405527
-3,3,0.8524255975825791,0.3073231496365982,0.199,527373456.14061624,499892599.493086,571401.7330939812,8,0.8686150008492592
-3,2,0.8097613292599009,0.8138392160272386,0.5399999999999996,570832638.2413911,34248355.44755449,1066806.5401748987,9,0.8748683960101162
-3,1,0.7629028684031552,0.6257445251684458,0.5799999999999996,371544873.2221562,41995329.32549007,852012.0184686481,8,0.7699843105164281
-3,0,0.7124317258767731,0.7818252103417576,0.16106790674619592,941408298.3938887,47365926.846823476,343156.7096717557,7,0.7785110703065458
-2,-1,0.6591225015292298,0.8612984534325752,0.07194371328224208,987836489.7603606,122879879.51359743,442723.9521291909,7,0.8280807488915648
-1,-2,0.6040545535202011,0.1725579610082473,0.7799999999999998,998701845.6197135,109809420.41216765,831349.7283054574,8,0.7760119060179117
0,-3,0.5484872944746332,0.7538802190050604,0.16967871153366648,446182567.7689001,224470296.51725605,0,7,0.688676780064161
1,-3,0.5484872944746332,0.3271914594684443,0.5199999999999996,520672480.3343227,112704650.1744963,4964530.117876451,8,0.8371335477565771
2,-3,0.5484872944746332,1,0.199,398389341.414082,116201468.99130413,2925293.0769804805,7,0.9083474744653777
3,-3,0.5484872944746332,0.3247431871806241,0.22999999999999948,326265207.19435495,539773224.6460305,1395923.6703881402,8,0.7747936079116697
3,-2,0.6040545535202011,0.6269848302539894,0.3199999999999995,247420923.70682016,65374956.24980957,3914998.802580425,8,0.7408979860085231
3,-1,0.6591225015292298,0.9044815254942036,0.3999999999999995,343220802.6620702,146521964.5403596,280848.55774609145,8,0.8120366922277225
3,0,0.7124317258767731,1,0.199,380776517.52368426,135055716.23206964,541748.4191713888,7,0.8523274157441656
3,1,0.7629028684031552,0.44751565045693975,0.1337412676316027,392482561.3757077,367362185.64876515,832779.494419617,7,0.7829884077753607
2,2,0.8097613292599009,0.4129260622696623,0.0749171980945693,560057093.5722616,477998674.99024904,0,7,0.8421003790391914
1,3,0.8524255975825791,0.30159538663871466,0.16258204002499774,208474286.12670153,508070095.8194533,0,8,0.7381521926286939
0,4,0.8903527432567052,0.47223177020041174,0.199,502176571.56256855,421514825.8521339,0,8,0.862671293919177
-1,4,0.8903527432567052,0.23208171611291534,0.13752363344109345,321017838.17683274,89136436.4965808,7282507.347910608,8,0.8446370764924012
-2,4,0.8903527432567052,0.7336154974936244,0.10959853056111796,136521050.32797906,236888530.8595258,108738.1129331158,8,0.7092875264884998
-3,4,0.8903527432567052,0.6745752967710964,0.6399999999999997,306772267.5491936,113686427.10571402,0,10,0.7784732278061848
-4,4,0.8903527432567052,0.7467347662573666,0.5799999999999996,294289650.64517564,77570877.61605822,78227.8831390611,10,0.7560936671255992
-4,3,0.8524255975825791,0.22462963033319933,0.199,374176680.4308819,580322263.3884467,0,8,0.8199952730494713
-4,2,0.8097613292599009,0.13654462533288933,0.08684463679863594,327323799.88279694,582580495.2515217,176717.21441804455,7,0.7493409704998444
-4,1,0.7629028684031552,0.7384059927610196,0.199,904362928.9918214,25564701.883864325,56050.65368027618,7,0.7554945832839496
-4,0,0.7124317258767731,0.5364874448776012,0.1331277131973334,1328369429.1092508,62470172.97117318,198559.1250987471,7,0.7419468975118974
-3,-1,0.6591225015292298,0.5333931583947518,0.199,1398693760.9936857,34552333.333585046,1095685.7614216115,7,0.7973939475997552
-2,-2,0.6040545535202011,0.7382168372581361,0.056946410148606644,1430322133.7417147,74289658.52739738,855254.3988684736,7,0.8274161202867077
-1,-3,0.5484872944746332,0.22393676917872274,0.8499999999999999,942509967.4557508,36147577.14039127,1349536.0334003887,8,0.7658115069874457
0,-4,0.49382825810962444,0.31714080674821105,0.05166075153067079,372189520.46463174,142910594.95114323,6210963.1409953,7,0.6856714206404715
1,-4,0.49382825810962444,0.6182547866557268,0.5599999999999996,431046660.1959536,13894584.355409086,3632436.589414571,8,0.7870371021172246
2,-4,0.49382825810962444,0.9022844285731748,0.1439187521283668,156238361.62957355,289207206.6372041,1090370.7290863239,7,0.7727734224940143
3,-4,0.49382825810962444,0.7329359496832876,0.199,308830248.37040484,484411888.89786506,493167.86201938376,7,0.8797622664265973
4,-4,0.49382825810962444,0.5118624027864515,0.199,306825268.45025504,600000000,562435.2655923696,7,0.8693154590222437
4,-3,0.5484872944746332,0.45104087085992267,0.057894005599146744,220609034.5200587,550330934.4361925,867638.2667228343,7,0.7511164405165732
